year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2040,190,Inter,1702907.788,217307.86,0.0,113.49070151985273,600.0,407.22669245179236,,
2040,190,Berth,582050.0,426398.0,536900.66,,,,,
2040,190,Intra,2308899.442,637383.24,790448.63,,1000.0,,54.054054054054056,
2040,190,Inter,1287638.841,212301.89,236622.9,,500.0,,229.72972972972974,
2040,190,Berth,498900.0,365484.0,304243.71,,,,,
2040,190,Intra,1269419.995,365484.0,136151.57,,600.0,,,211.05527638190955
2040,190,Inter,600672.104,91371.0,34037.89,,300.0,,,105.52763819095478
2040,190,Berth,291025.0,213199.0,125276.82,,,,,
2045,90,Intra,17114169.335,2090155.61,10904812.51,5743.90243902439,1500.0,,,
2045,90,Inter,5845279.174,522187.02,2725949.03,2819.512195121951,800.0,,,
2045,90,Berth,831500.0,288540.0,2530863.51,,,,,
2045,90,Intra,5553458.07,346248.0,2210893.4,0.0,1200.0,1008.3333333333334,,
2045,90,Inter,2044380.71,171716.49,906925.78,590.2439024390244,600.0,0.0,,
2045,90,Berth,582050.0,201978.0,1084655.79,,,,,
2045,90,Intra,2801762.534,301918.38,1618776.59,,1000.0,,54.054054054054056,
2045,90,Inter,1352340.012,100564.05,524799.74,,500.0,,229.72972972972974,
2045,90,Berth,498900.0,173124.0,614638.28,,,,,
2045,90,Intra,1804861.816,173124.0,863953.39,,600.0,,,211.05527638190955
2045,90,Inter,686442.559,43281.0,215988.35,,300.0,,,105.52763819095478
2045,90,Berth,291025.0,100989.0,253086.35,,,,,
2045,110,Intra,17578648.36,2554634.63,10904812.51,5743.90243902439,1500.0,,,
2045,110,Inter,6077362.296,638228.59,2725949.03,2819.512195121951,800.0,,,
2045,110,Berth,831500.0,352660.0,2530863.51,,,,,
2045,110,Intra,5630402.07,423192.0,2210893.4,0.0,1200.0,1008.3333333333334,,
2045,110,Inter,2120699.149,209875.71,906925.78,590.2439024390244,600.0,0.0,,
2045,110,Berth,582050.0,246862.0,1084655.79,,,,,
2045,110,Intra,2868855.507,369011.35,1618776.59,,1000.0,,54.054054054054056,
2045,110,Inter,1397035.148,122911.62,524799.74,,500.0,,229.72972972972974,
2045,110,Berth,498900.0,211596.0,614638.28,,,,,
2045,110,Intra,1843333.816,211596.0,863953.39,,600.0,,,211.05527638190955
2045,110,Inter,705678.559,52899.0,215988.35,,300.0,,,105.52763819095478
2045,110,Berth,291025.0,123431.0,253086.35,,,,,
2045,130,Intra,18043127.384,3019113.66,10904812.51,5743.90243902439,1500.0,,,
